"Country","Happiness_Score","Annual_Net"
"Switzerland",7.548,54576
"Iceland",7.531,38652
"Denmark",7.5265,42744
"Norway",7.51,39072
"Finland",7.4095,30108
"Netherlands",7.3585,26880
"Sweden",7.3275,33864
"Austria",7.1595,32880
"Luxembourg",6.9085,42876
"Ireland",6.9235,32976
"Belgium",6.933,27144
"Germany",6.872,30372
"Czech Republic",6.5505,13272
"Spain",6.345,21408
"Malta",6.395,12252
"Slovakia",6.0365,10212
"Italy",5.9625,20748
"Moldova",5.893,3792
"Slovenia",5.808,15936
"Lithuania",5.823,11604
"Belarus",5.8075,3132
"Poland",5.813,10560
"Croatia",5.6235,11304
"Russia",5.786,5388
"Cyprus",5.6175,19896
"Kosovo",5.495,5040
"Estonia",5.473,14568
"Montenegro",5.1765,6324
"Romania",5.326,8916
"Serbia",5.15,6744
"Portugal",5.1125,12048
"Latvia",5.329,10980
"Macedonia",5.064,5232
"Albania",4.807,4272
"Bosnia and Herzegovina",5.056,5904
"Greece",4.945,13392
"Hungary",4.9725,9060
"Ukraine",4.5025,4044
"Bulgaria",4.2175,6648
